Fecha,Cierre,Apertura,Maximo,Minimo,Vol.,Var,DGS10
2019-12-16,1486.1,1485.8,1490.0,1483.4,2.83K,-0.05%,1.89
2019-12-17,1486.4,1486.0,1490.5,1484.3,10.20K,0.02%,1.89
2019-12-18,1484.4,1486.2,1489.4,1480.4,5.32K,-0.13%,1.92
2019-12-19,1490.0,1485.2,1491.3,1483.1,6.56K,0.38%,1.92
2019-12-20,1486.6,1488.6,1490.4,1485.2,1.45K,-0.23%,1.92
2019-12-23,1494.4,1487.2,1495.7,1487.2,2.46K,0.52%,1.93
2019-12-24,1510.6,1495.5,1510.8,1494.1,5.11K,1.08%,1.9
2019-12-25,1504.05,1504.4,1504.4,1502.15,-,-0.43%,1.9
2019-12-26,1520.3,1509.8,1523.0,1508.0,7.83K,1.08%,1.9
2019-12-27,1524.1,1521.9,1525.6,1518.0,10.68K,0.25%,1.88
2019-12-30,1524.6,1521.9,1525.0,1519.6,6.88K,0.03%,1.9
2019-12-31,1529.3,1523.8,1534.5,1523.8,18.81K,0.31%,1.92
2020-01-01,1520.95,1520.85,1523.95,1520.85,-,-0.55%,1.92
2020-02-01,1534.3,1527.5,1540.1,1526.0,19.19K,0.88%,1.88
2020-03-01,1558.7,1537.9,1562.2,1536.7,19.72K,1.59%,1.8
2020-06-01,1575.1,1572.2,1595.7,1568.9,48.64K,1.05%,1.81
2020-07-01,1580.5,1573.1,1585.3,1563.3,45.63K,0.34%,1.83
2020-08-01,1566.5,1583.3,1619.6,1559.8,55.74K,-0.89%,1.87
2020-09-01,1560.6,1564.3,1568.3,1547.4,35.81K,-0.38%,1.85
2020-10-01,1566.4,1560.1,1570.3,1553.0,47.51K,0.37%,1.83
2020-01-13,1557.0,1569.5,1569.5,1553.4,82.13K,-0.60%,1.85
2020-01-14,1550.9,1555.4,1555.6,1542.8,43.90K,-0.39%,1.82
2020-01-15,1560.1,1552.9,1564.8,1552.9,44.84K,0.59%,1.79
2020-01-16,1556.5,1562.6,1564.4,1554.1,32.58K,-0.23%,1.81
2020-01-17,1566.5,1558.3,1567.5,1555.5,37.82K,0.64%,1.84
2020-01-19,1557.05,1557.4,1559.05,1556.45,-,-0.60%,1.84
2020-01-20,1561.25,1557.2,1562.7,1556.65,-,0.27%,1.84
2020-01-21,1564.1,1564.2,1574.8,1552.1,68.33K,0.18%,1.78
2020-01-22,1562.9,1564.4,1565.7,1556.3,76.26K,-0.08%,1.77
2020-01-23,1571.6,1564.7,1573.7,1557.5,69.90K,0.56%,1.74
2020-01-24,1578.2,1568.4,1581.6,1562.1,124.27K,0.42%,1.7
2020-01-27,1583.7,1586.1,1594.7,1581.6,138.92K,0.35%,1.61
2020-01-28,1575.8,1587.1,1588.5,1570.4,194.66K,-0.50%,1.65
2020-01-29,1576.0,1572.0,1583.0,1567.9,238.02K,0.01%,1.6
2020-01-30,1589.2,1582.4,1590.7,1576.8,382.60K,0.84%,1.57
2020-01-31,1587.9,1578.4,1595.5,1575.0,343.37K,-0.08%,1.51
2020-03-02,1582.4,1597.8,1598.5,1573.2,320.60K,-0.35%,1.54
2020-04-02,1555.5,1581.5,1584.5,1552.8,349.00K,-1.70%,1.61
2020-05-02,1562.8,1556.1,1566.2,1551.1,306.05K,0.47%,1.66
2020-06-02,1570.0,1560.0,1571.9,1556.0,229.00K,0.46%,1.65
2020-07-02,1573.4,1570.7,1577.8,1563.5,286.42K,0.22%,1.59
2020-10-02,1579.5,1575.8,1580.5,1571.5,191.75K,0.39%,1.56
2020-11-02,1570.1,1575.5,1577.5,1565.2,231.83K,-0.60%,1.59
2020-12-02,1571.6,1571.2,1573.6,1564.4,189.55K,0.10%,1.62
2020-02-13,1578.8,1569.8,1581.7,1568.5,276.25K,0.46%,1.61
2020-02-14,1586.4,1579.0,1588.2,1576.0,227.11K,0.48%,1.59
2020-02-16,1586.25,1585.5,1586.25,1583.45,-,-0.01%,1.59
2020-02-17,1587.05,1586.15,1588.45,1581.85,-,0.05%,1.59
2020-02-18,1603.6,1585.1,1608.2,1581.8,414.24K,1.04%,1.55
2020-02-19,1611.8,1604.8,1615.9,1602.4,307.89K,0.51%,1.56
2020-02-20,1620.5,1615.0,1626.5,1606.6,403.04K,0.54%,1.52
2020-02-21,1648.8,1623.6,1652.1,1621.6,489.19K,1.75%,1.46
2020-02-24,1676.6,1656.0,1691.7,1652.8,680.82K,1.69%,1.38
2020-02-25,1650.0,1661.8,1666.7,1627.0,672.76K,-1.59%,1.33
2020-02-26,1643.1,1637.3,1657.1,1626.6,531.90K,-0.42%,1.33
2020-02-27,1642.5,1643.0,1662.5,1636.7,573.29K,-0.04%,1.3
2020-02-28,1566.7,1646.1,1651.0,1564.0,745.84K,-4.61%,1.13
2020-02-03,1594.8,1592.8,1612.1,1576.3,443.53K,1.79%,1.1
2020-03-03,1644.4,1586.0,1650.5,1585.9,466.53K,3.11%,1.02
2020-04-03,1643.0,1640.1,1654.3,1632.6,313.34K,-0.09%,1.02
2020-05-03,1668.0,1638.2,1675.5,1635.6,363.00K,1.52%,0.92
2020-06-03,1674.4,1675.05,1692.6,1643.45,-,0.38%,0.92
